name,neighborhood,borough,website,menu_url,notes
Due West,West Village,Manhattan,http://www.duewestnyc.com/,https://www.duewestnyc.com/menus/,Neighborhood bistro beef burger
Boucherie West Village,West Village,Manhattan,https://www.boucherieus.com/,,French steakhouse cheeseburger special
Skinny Louie West Village,West Village,Manhattan,https://www.skinnylouie.com/louiespot/westvillage,https://www.trycaviar.com/store/skinny-louie-new-york-40478391/,Smash-style Florida burger outpost
Emmett's on Grove,West Village,Manhattan,https://www.emmettsongrove.com/,https://www.emmettsongrove.com/menus/,Tavern beef burger on Grove
The Warren,West Village,Manhattan,http://thewarrennyc.com/,,"Pub beef burger, cozy spot"
Westville Hudson,West Village,Manhattan,https://westville.com/,https://westville.com/wp-content/uploads/2024/09/DinnerMenu-4.17.24-FINAL.pdf,All-day American beef burger
Bus Stop Cafe,West Village,Manhattan,https://www.busstopcafe-nyc.com/,https://www.busstopcafe-nyc.com/eat,Diner-style West Village burger
Waverly Diner,West Village,Manhattan,unknown,https://postmates.com/store/waverly-diner/1DBNhFSdQQ6Pon1y0MGyiQ,Classic diner beef burger
Five Guys,West Village,Manhattan,https://restaurants.fiveguys.com/296-bleecker-st,,Chain customizable beef burger
St Tropez West Village,West Village,Manhattan,https://sttropezwinebar.com,https://st-tropez-west-village.popmenu.com/files/st-tropez-dinner-menu-2026-pdf.pdf,Wine bar beef burger
The Golden Swan,West Village,Manhattan,http://www.tgsnyc.com/,,Tavern dry-aged beef burger
Burgerhead,West Village,Manhattan,https://www.burgerhead.com/,,West Village burger bar specialist
Barrow Street Ale House,West Village,Manhattan,unknown,https://menupages.com/barrow-street-ale-house/15-barrow-st-new-york,Ale house pub burger
Hudson Hound,West Village,Manhattan,unknown,https://menucollectors.com/hudson-hound-10014-menu/,Irish bar beef burger
Shake Shack West Village,West Village,Manhattan,https://shakeshack.com/location/west-village-ny,https://postmates.com/store/shake-shack-west-village/yRfk0I6-Sdey3bUvG-IRTQ,Chain smash ShackBurger classic
The Lavaux,West Village,Manhattan,http://www.thelavauxwinebar.com/?y_source=1_MTAwMTM3MTUyOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,Wine bar beef burger
Cafe Cluny,West Village,Manhattan,http://www.cafecluny.com/,https://www.cafecluny.com/cafe-cluny-menu/,Neighborhood cafe beef burger
Jeffrey's Grocery,West Village,Manhattan,https://www.jeffreysgrocery.com/,https://www.jeffreysgrocery.com/menu/lunch-1/,"Market cafe burger, lunch favorite"
The Spaniard,West Village,Manhattan,https://www.thespaniardnyc.com/,,Irish pub beef burger
White Horse Tavern,West Village,Manhattan,https://www.whitehorsetavern1880.com/,https://postmates.com/store/white-horse-tavern/rCCuGsCUQDeEGqmUiSz21Q,Historic tavern burger classic
Fiddlesticks Pub,West Village,Manhattan,unknown,https://menupages.com/fiddlesticks/54-greenwich-ave-new-york,Irish pub beef burger
Tavern on Jane,West Village,Manhattan,https://tavernonjane.com/,,Jane Street tavern burger
Hudson Clearwater,West Village,Manhattan,http://hudsonclearwater.com,http://hudsonclearwater.com/menus/brunch%20takeout.pdf,Farm-to-table beef burger
Wilfie & Nell,West Village,Manhattan,https://www.wilfieandnell.com,https://www.wilfieandnell.com/menu/dinner/,Irish gastropub beef burger
Smashed NYC West Village,West Village,Manhattan,http://www.smashednyc.com/,https://www.smashednyc.com/menu,Smash burger specialist spot
Fat Ronnie's Burger Bar NYC,West Village,Manhattan,https://fatronniesburgerbar.com/fatronniesburgerbarnyc-79l99x,,"Burger bar, late-night favorite"
Burgers & Beer,West Village,Manhattan,https://burgersandbeernyc.com/,,Casual burgers and beer
Houston Hall,West Village,Manhattan,https://www.houstonhallny.com/,https://www.houstonhallny.com/menu/food-menu/,"Beer hall burger, Houston Street"
Lume West Village,West Village,Manhattan,https://lumewestvillage.com/,https://lumewestvillage.com/s/Lume-West-Village-Dinner-Menu.pdf,Italian eatery beef burger
